Anio,Clase_Social_Alta,Clase_Social_Media,Clase_Social_Baja,Victimas_Violencia_Genero
2016,12903,47574,9016,298410
2018,10312,45892,10548,734630
2020,12000,42440,8745,319950
2022,11444,44598,8099,531810
