Anio,Clase_Social_Alta,Clase_Social_Media,Clase_Social_Baja,Victimas_Violencia_Genero
2016,6010,7580,6010,28281
2018,6155,7223,7278,31286
2020,5882,6444,6342,29215
2022,6692,7164,6193,32644
